,train_loss,train_acc,test_loss,test_acc
1,2.3583015518188475,0.1373,2.298202224349976,0.1239
2,2.165195672607422,0.1854,2.1399252042770387,0.1933
3,2.071593444824219,0.2328,2.539988109588623,0.1248
4,2.027369095611572,0.2555,2.1776115951538086,0.2083
5,1.9954750816345215,0.263,2.178387621688843,0.2224
6,1.9557455825805663,0.288,2.282675764465332,0.2236
7,1.9188620435714723,0.3008,2.3287419570922854,0.2148
8,1.91643407497406,0.2993,2.0608347232818605,0.2822
9,1.8696570026397705,0.3238,2.371813683319092,0.2236
10,1.8869154090881348,0.3245,2.6507280067443846,0.1911
11,1.9429813512802123,0.2962,2.391123773956299,0.1947
12,1.899024800491333,0.309,2.2296918472290037,0.2035
13,1.8789408298492432,0.3231,2.1653386236190797,0.2551
14,1.870454513168335,0.3236,2.0676703144073487,0.2724
15,1.849634780883789,0.3363,2.0046169197082517,0.286
16,1.8092452667236327,0.3521,2.211439140319824,0.2392
17,1.8143906234741212,0.3455,1.945977903366089,0.3007
18,1.7854814210891723,0.3655,1.9307248893737794,0.3017
19,1.786020707321167,0.3549,2.2556180330276487,0.2432
20,1.7854124668121338,0.3568,2.3351961668014525,0.2695
21,1.793184906387329,0.3611,2.836739818572998,0.2166
22,1.8434533376693725,0.3505,1.8708665027618407,0.3262
23,1.7326336265563964,0.3832,2.049523303222656,0.2802
24,1.7432305335998535,0.3735,2.654080954360962,0.1956
25,1.7970972171783448,0.3617,2.7393920326232912,0.2145
26,1.78911760597229,0.3642,2.041277241897583,0.2827
27,1.7152499397277832,0.3943,2.9108622550964354,0.1783
28,1.822541265296936,0.3406,2.2337144523620607,0.233
29,1.741749556350708,0.3782,2.39517858505249,0.225
30,1.7669861442565917,0.3716,2.0619832420349122,0.2935
31,1.7008875030517578,0.3918,1.889696222114563,0.2914
32,1.6914429121017456,0.3935,2.244011656188965,0.2587
33,1.6968473987579347,0.3967,2.283787593078613,0.279
34,1.6774593984603883,0.3993,2.5835482959747313,0.2147
35,1.7483693017959594,0.3769,1.8828794710159302,0.331
36,1.6798104217529297,0.399,2.3087564117431643,0.2326
37,1.7091603282928467,0.3912,2.1685865257263184,0.233
38,1.679839043045044,0.4028,2.1829114547729493,0.2533
39,1.6588154445648193,0.4083,1.873630708694458,0.3501
40,1.6784478425979614,0.4051,2.612894961166382,0.2364
41,1.7261826988220215,0.3996,2.106281060600281,0.2858
42,1.6408240543365478,0.423,1.9880757011413575,0.3218
43,1.634106551361084,0.4198,2.4657460472106933,0.2526
44,1.6668399227142334,0.4077,2.444889786911011,0.2331
45,1.6480875968933106,0.4128,2.22639221572876,0.2491
46,1.629451923751831,0.4181,2.1585884536743163,0.303
47,1.6547669845581054,0.414,2.3828415901184083,0.233
48,1.6720773118972778,0.4078,2.9432870513916014,0.1969
49,1.7056024551391602,0.3988,2.056567961883545,0.3034
50,1.6245134675979613,0.4235,2.132132717514038,0.2869
